RAL	21	32
RAL	31	47
RAL	32	37
RAL	48	19
RAL	75	35
RAL	88	36
RAL	100	34
RAL	129	32
RAL	149	40
RAL	161	42
RAL	176	1
RAL	195	39
RAL	208	22
RAL	235	38
RAL	237	29
RAL	280	24
RAL	301	22
RAL	310	16
RAL	318	22
RAL	324	32
RAL	348	27
RAL	350	1
RAL	356	6
RAL	361	23
RAL	362	20
RAL	365	27
RAL	383	23
RAL	386	20
RAL	390	26
RAL	397	13
RAL	443	21
RAL	491	11
RAL	517	23
RAL	528	18
RAL	530	30
RAL	551	21
RAL	566	29
RAL	589	32
RAL	596	5
RAL	630	7
RAL	634	5
RAL	705	5
RAL	712	28
RAL	714	22
RAL	716	33
RAL	737	17
RAL	748	20
RAL	776	38
RAL	801	15
RAL	850	31
RAL	853	21
RAL	859	20
RAL	861	27
RAL	879	25
RAL	882	39
RAL	913	21
