s.area s.perimeter s.radius.mean s.radius.sd s.radius.min s.radius.max
8 8 1.14412280563537 0.437016024448821 0.707106781186548 1.58113883008419
31 19 2.75950037784604 0.833910649978046 1.12636497679119 3.84642871380915
61 35 4.75289862509898 2.22182026090706 1.54523626091314 8.32135193097754
19 13 1.98697656442969 0.333310260928636 1.39313617509806 2.56051030416819
27 16 2.4659361858884 0.360688545876053 1.94655143779968 3.00650336770142
27 15 2.47145201443096 0.310434187565729 1.89619502044372 2.98812464413533
59 23 3.94766991956691 0.586573574032577 2.93147962278914 4.9635724070167
48 23 3.65681497110786 1.04352858328484 1.56582113959731 5.32586512404048
19 13 1.98697656442969 0.333310260928636 1.39313617509806 2.56051030416819
59 29 3.8595942067711 1.32929620376601 0.737157183670069 5.61942020782012
36 18 3.0011794475584 0.63515017965324 1.69330562823647 4.13394559384125
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
28 16 2.50584831792106 0.350810429679875 2.00876983499852 2.98498848406489
18 13 1.93255035652896 0.3832830862607 1.31671098220182 2.51974451602449
23 15 2.22764517146664 0.336381547646277 1.65058912041866 2.88521133445099
32 18 2.73472299043291 0.623357133764378 1.5163715626618 3.73711779085381
38 22 3.07955279124152 1.09649670276736 0.927094457016871 4.59698068355292
43 25 3.39677266655925 1.20711865685027 1.35823414770797 4.97240384522417
51 22 3.68197178177794 0.785262705850227 2.09090909090909 5.0550686452574
59 33 3.77206391274104 1.4249515803145 0.406557814090871 6.03639101855783
22 13 2.19734637661392 0.217735036574517 1.85255301212189 2.61085580745802
22 14 2.17959179458176 0.302020435874398 1.67362493055143 2.68879003210267
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
28 16 2.51290407073507 0.350447044905641 1.82002747232013 3.05163890393343
23 14 2.25324271924934 0.256426190173708 2 2.82842712474619
22 13 2.19734637661392 0.217735036574517 1.85255301212189 2.61085580745802
51 28 3.55760330705858 1.43047713440476 0.217241518939216 5.27569030206146
30 15 2.65795713475346 0.21534851038321 2.35702260395515 2.98142396999972
44 27 3.56093036545966 1.44781938376741 0.667694680641479 5.900524261193
26 15 2.4302001700728 0.334521914313384 1.91020650425259 3.03021818063027
52 24 3.75674121683718 0.909872327273953 1.8865385704453 5.42915227677806
35 19 2.91499727840379 0.641387655413044 1.81712384227706 3.87798674100814
48 21 3.45071314972003 0.389275833374041 2.71470339309318 4.11016107181716
28 16 2.52622906893357 0.343753823651475 2.06155281280883 3.20156211871642
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
19 13 1.98697656442969 0.333310260928636 1.39313617509807 2.56051030416819
15 11 1.71680607651965 0.24666041116305 1.41128860875091 2.13006809342909
24 15 2.2831635611971 0.291447989527384 1.87142251301576 2.83470555006257
25 14 2.39939015534248 0.354372605699233 1.78571428571429 3.03129931056042
25 17 2.3901653928373 0.741677270401093 0.708329092870135 3.57712842247313
21 13 2.14081502246841 0.282193077634284 1.47764405479219 2.6658036078713
23 14 2.25324271924934 0.256426190173708 2 2.82842712474619
36 21 2.8927525566401 0.893037247751052 0.346671899489553 4.12612933760656
24 15 2.2831635611971 0.291447989527384 1.87142251301576 2.83470555006257
31 16 2.6826469791503 0.222483561765333 2.16596543139543 2.96924338005493
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
31 17 2.79239035465165 0.677208587194685 1.58387200209838 3.95301120386152
34 19 2.84295676206214 0.494435693633986 1.75902894390194 3.74017642198734
28 16 2.51290407073507 0.350447044905641 1.82002747232013 3.05163890393343
28 16 2.51290407073507 0.350447044905641 1.82002747232013 3.05163890393343
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
59 25 3.92841392086999 0.786615577213471 1.9567319693816 5.24106859333094
22 15 2.26507066270937 0.638147843928904 0.92855921847894 3.25508149752899
52 25 3.77214388224469 1.04982404794515 1.94648400969543 5.51623059706536
36 17 2.93900746691613 0.2981253226869 2.35954954354489 3.45259543313628
34 17 2.86769793247881 0.378273148633605 2.1249872786104 3.52941176470589
50 26 3.65569582981403 1.16333297949559 1.41891282659205 5.33618328686393
14 10 1.68917513277928 0.216072605390181 1.58113883008419 2.12132034355964
37 19 2.9608817181551 0.353760102467331 2.37367837553256 3.69959195174525
32 18 2.7486160372516 0.533494191723623 1.80875784401108 3.77777777777777
31 17 2.67818671873151 0.328013286650327 2.13149069788158 3.32756132323082
35 17 2.90148739050112 0.29421290621199 2.41821232836405 3.47606745945744
23 15 2.24194135321641 0.485717192366522 1.43913554299486 3.01182853282041
23 15 2.24194135321641 0.485717192366522 1.43913554299486 3.01182853282041
22 13 2.19734637661392 0.21773503657452 1.85255301212189 2.61085580745801
39 22 3.2832745226523 1.19098930152219 1.03652311372649 5.16824378310978
26 15 2.42367741016274 0.328648799920323 1.83060402903279 2.94693814737338
56 23 3.85941734965449 0.922816120709566 2.19511401067206 5.34800282493389
38 19 3.07072788804973 0.531546418381655 2.17005559243035 3.93013783212516
48 22 3.49203478928626 0.528046897805742 2.50989776223246 4.67386791879211
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
23 15 2.24194135321641 0.485717192366522 1.43913554299486 3.01182853282041
51 29 3.82340927708261 1.42755139114284 1.20294920982844 6.13066210420291
11 9 1.41683715376238 0.302221626984685 0.949333749479724 1.88888888888889
