s.area s.perimeter s.radius.mean s.radius.sd s.radius.min s.radius.max
29 17 2.62225359811581 0.487824679961728 1.83204841204676 3.38733648209129
21 13 2.18254704466073 0.335004541481371 1.63178487966126 2.83678290993627
39 19 3.1017310758319 0.544207534074886 1.94095672785113 4.12679911240267
78 43 5.84317844678692 2.79496613161289 0.888603403467106 10.7767552267812
83 36 4.83632104067113 1.93759874974632 0.521897061890442 7.61541848918575
32 16 2.79286701889716 0.42926543624722 1.90804219030922 3.41183601598905
46 21 3.3972434435804 0.53516481960508 2.2637836807628 4.41112796080791
73 36 4.85792290734209 1.93851440870082 1.73316416553405 7.84598072775144
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
72 30 4.35881218764716 1.06493645169649 2.72029410174709 5.8821764679411
124 57 7.02926320420037 3.28652038939511 1.06729552100036 12.1459904759319
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
36 19 2.96931596115544 0.496864804735536 2.08742442263705 3.9456136450508
30 16 2.64402778088331 0.438988432555194 1.9375 3.1825942641185
137 51 6.36007329535318 2.18679457718254 1.06768261882839 9.95887352368845
31 16 2.6826469791503 0.222483561765333 2.16596543139543 2.96924338005493
66 26 4.12713013950289 0.641921400014188 2.69916708608042 5.09684320446368
43 21 3.34104367416471 0.781453643992684 2.02086620704028 4.75475653956823
14 11 1.63662496621895 0.338891058750264 0.966376892066788 2.20067607943822
23 15 2.2419413532164 0.485717192366522 1.43913554299486 3.0118285328204
59 33 4.13367467115273 1.58736025929105 0.904026296374321 6.72618063753708
122 50 6.06996624630982 2.36311442140653 1.3605881081356 10.0364934115457
42 21 3.21174162306281 0.5653639373063 2.13437474581095 4.06885187191123
50 23 3.59871888979562 0.723672925745423 2.20756561300628 4.78260869565218
39 20 3.08107619829654 0.551787513713899 2.08626460450251 3.85389413450863
120 41 5.80109788541798 1.48875412487169 3.0538494446675 7.98530029622806
23 15 2.24194135321641 0.485717192366521 1.43913554299487 3.01182853282041
23 14 2.23361843772962 0.26865063638529 1.71428571428572 2.63415555922654
101 40 5.11389418602794 1.64714487951414 1.3729530217746 7.58188630882843
210 81 8.16960550477438 4.08212370922848 1.52792429775023 15.3518803953132
15 12 1.71676051329096 0.468401544266904 1 2.23606797749979
26 15 2.41626895673663 0.342344686341729 1.80123414481418 3.04046780026436
46 20 3.37937092167443 0.468883966180689 2.15870331449229 4.08166632639171
15 11 1.71680607651965 0.24666041116305 1.41128860875091 2.13006809342909
46 22 3.39647116640392 0.59364414243965 1.81476952524338 4.35083349096649
39 23 3.07681173952377 0.893241178564091 0.953552704324411 4.53926369952633
22 13 2.19734637661392 0.217735036574519 1.85255301212188 2.61085580745802
73 29 4.71031336453904 1.44444866835975 2.22112867795696 7.25892783361964
104 38 5.41147353405065 1.54790490403366 1.96118851409334 8.12753263319201
19 13 1.98697656442969 0.333310260928636 1.39313617509807 2.56051030416819
69 32 4.41330766446654 1.41637350167986 1.26899628151543 7.03013880108352
24 16 2.46878836752328 0.767253378214599 1.0625 3.64059146980267
